hero_id,name,primary_attr,games,wins,win_rate,pick_rate,p_value,q_value,significant,ci_low,ci_high,outside_tolerance,action
72,Gyrocopter,agi,1415,597.0,0.4219081272084806,0.02630013754135534,4.627626520746419e-09,8.329727737343554e-08,True,0.3964213267091927,0.4478177892074724,True,buff candidate
53,Nature's Prophet,all,4662,1993.0,0.4274989274989275,0.08665105386416862,4.0334083453471207e-23,5.082094515137372e-21,True,0.41336338301582626,0.44175385447152266,True,buff candidate
114,Monkey King,agi,2719,1173.0,0.4314086061051857,0.050537154752611425,8.995019698477491e-13,2.83343120502041e-11,True,0.412902190516345,0.4501085629038881,True,buff candidate
38,Beastmaster,all,1669,729.0,0.43678849610545234,0.03102115163005093,2.648347402376725e-07,2.3835126621390524e-06,True,0.41316524172364716,0.4607020641782827,True,buff candidate
69,Doom,str,2407,1065.0,0.4424594931449938,0.04473811382476488,1.7851848350472807e-08,2.2493328921595739e-07,True,0.422724800820794,0.4623775567039936,True,buff candidate
79,Shadow Demon,int,1178,522.0,0.4431239388794567,0.021895096836548826,0.00010491908923680346,0.00044066017479457454,True,0.41498708961620406,0.47163052817010004,True,buff candidate
65,Batrider,all,692,309.0,0.44653179190751446,0.012861975391249395,0.005481396623508263,0.013414322949313535,True,0.40988846108772,0.4837654753629557,False,within tolerance
145,Kez,agi,2774,1241.0,0.4473684210526316,0.051559421582840784,3.2020247064621905e-08,3.3621259417853004e-07,True,0.42895072261803285,0.46593168722116446,True,buff candidate
19,Tiny,str,3084,1382.0,0.4481193255512322,0.05732128917140627,8.964663424592061e-09,1.4119344893732496e-07,True,0.43064332800756644,0.465724408397458,True,buff candidate
100,Tusk,str,2911,1310.0,0.45001717622810034,0.05410579532359392,7.478121485495885e-08,7.248025439788321e-07,True,0.4320224299061854,0.4681436669086531,True,buff candidate
59,Huskar,str,2017,909.0,0.45066931085770945,0.03748931266495669,1.023788765268833e-05,6.142732591612999e-05,True,0.4290694684668043,0.47245670067853235,True,buff candidate
73,Alchemist,str,2068,934.0,0.45164410058027077,0.038437232816623916,1.1910693197373066e-05,6.52498844725655e-05,True,0.4303047014208152,0.4731628157733617,True,buff candidate
98,Timbersaw,str,2244,1015.0,0.4523172905525847,0.041708486673357865,6.806447008401145e-06,4.7645129058808015e-05,True,0.43182307106341017,0.4729744852054058,True,buff candidate
138,Muerta,int,1912,865.0,0.4524058577405858,0.035537712352700646,3.4384924206999744e-05,0.00017330001800327873,True,0.4302135610753839,0.47478901668904616,True,buff candidate
39,Queen of Pain,int,4981,2283.0,0.4583416984541257,0.0925802014794989,4.376727102705987e-09,8.329727737343554e-08,True,0.44454192916198926,0.4722056738604387,True,buff candidate
43,Death Prophet,all,1881,872.0,0.4635832004253057,0.03496152559384409,0.0017068517047482247,0.0048878026090517345,True,0.441144695697387,0.48617014589904206,False,within tolerance
137,Primal Beast,str,1730,802.0,0.4635838150289017,0.03215493847812349,0.0026430982680289298,0.007239790908079243,True,0.44019190673766606,0.48713708902547515,False,within tolerance
