hero_id,name_mine,primary_attr,games,wins_mine,win_rate_mine,pick_rate,p_value,q_value,significant,ci_low,ci_high,outside_tolerance,action,name_live,picks,wins_live,win_rate_live,delta_pp,mine_offset_pp,predicted_dir,actual_dir,matches_prediction,patch_touched
72,Gyrocopter,agi,1415,597.0,0.4219081272084806,0.0263001375413553,4.627626520746419e-09,8.329727737343555e-08,True,0.3964213267091927,0.4478177892074724,True,buff candidate,Gyrocopter,96711,41632,0.4305,0.8591872791519406,-7.809187279151941,1,1.0,1.0,buff
53,Nature's Prophet,all,4662,1993.0,0.4274989274989275,0.0866510538641686,4.033408345347121e-23,5.0820945151373714e-21,True,0.4133633830158262,0.4417538544715226,True,buff candidate,Nature's Prophet,283150,121547,0.4293,0.18010725010725315,-7.250107250107252,1,1.0,1.0,untouched
114,Monkey King,agi,2719,1173.0,0.4314086061051857,0.0505371547526114,8.995019698477491e-13,2.8334312050204097e-11,True,0.412902190516345,0.4501085629038881,True,buff candidate,Monkey King,176821,78701,0.4451,1.3691393894814274,-6.859139389481427,1,1.0,1.0,untouched
38,Beastmaster,all,1669,729.0,0.4367884961054523,0.0310211516300509,2.648347402376725e-07,2.3835126621390524e-06,True,0.4131652417236471,0.4607020641782827,True,buff candidate,Beastmaster,99556,44138,0.4433,0.6511503894547743,-6.321150389454772,1,1.0,1.0,nerf
69,Doom,str,2407,1065.0,0.4424594931449938,0.0447381138247648,1.7851848350472807e-08,2.2493328921595739e-07,True,0.422724800820794,0.4623775567039936,True,buff candidate,Doom,177904,82772,0.4653,2.2840506855006213,-5.754050685500623,1,1.0,1.0,mixed
79,Shadow Demon,int,1178,522.0,0.4431239388794567,0.0218950968365488,0.0001049190892368,0.0004406601747945,True,0.414987089616204,0.4716305281701,True,buff candidate,Shadow Demon,74240,32959,0.444,0.08760611205432811,-5.687606112054327,1,1.0,1.0,untouched
65,Batrider,all,692,309.0,0.4465317919075144,0.0128619753912493,0.0054813966235082,0.0134143229493135,True,0.40988846108772,0.4837654753629557,False,within tolerance,Batrider,44571,19246,0.4318,-1.473179190751439,-5.346820809248559,0,-1.0,,untouched
145,Kez,agi,2774,1241.0,0.4473684210526316,0.0515594215828407,3.2020247064621905e-08,3.362125941785301e-07,True,0.4289507226180328,0.4659316872211644,True,buff candidate,Kez,146863,65145,0.4436,-0.37684210526315876,-5.263157894736842,1,-1.0,0.0,untouched
19,Tiny,str,3084,1382.0,0.4481193255512322,0.0573212891714062,8.964663424592061e-09,1.4119344893732496e-07,True,0.4306433280075664,0.465724408397458,True,buff candidate,Tiny,193737,86458,0.4463,-0.18193255512322093,-5.188067444876782,1,-1.0,0.0,nerf
100,Tusk,str,2911,1310.0,0.4500171762281003,0.0541057953235939,7.478121485495885e-08,7.248025439788321e-07,True,0.4320224299061854,0.4681436669086531,True,buff candidate,Tusk,175220,83233,0.475,2.4982823771899696,-4.998282377189972,1,1.0,1.0,untouched
59,Huskar,str,2017,909.0,0.4506693108577094,0.0374893126649566,1.023788765268833e-05,6.142732591612999e-05,True,0.4290694684668043,0.4724567006785323,True,buff candidate,Huskar,125759,56112,0.4462,-0.44693108577094076,-4.933068914229061,1,-1.0,0.0,untouched
73,Alchemist,str,2068,934.0,0.4516441005802707,0.0384372328166239,1.1910693197373066e-05,6.52498844725655e-05,True,0.4303047014208152,0.4731628157733617,True,buff candidate,Alchemist,132256,62244,0.4706,1.8955899419729305,-4.835589941972929,1,1.0,1.0,untouched
98,Timbersaw,str,2244,1015.0,0.4523172905525847,0.0417084866733578,6.806447008401145e-06,4.7645129058808015e-05,True,0.4318230710634101,0.4729744852054058,True,buff candidate,Timbersaw,140404,62457,0.4448,-0.751729055258471,-4.7682709447415315,1,-1.0,0.0,untouched
138,Muerta,int,1912,865.0,0.4524058577405858,0.0355377123527006,3.4384924206999744e-05,0.0001733000180032,True,0.4302135610753839,0.4747890166890461,True,buff candidate,Muerta,121401,56512,0.4655,1.3094142259414243,-4.759414225941422,1,1.0,1.0,neutral
39,Queen of Pain,int,4981,2283.0,0.4583416984541257,0.0925802014794989,4.376727102705987e-09,8.329727737343555e-08,True,0.4445419291619892,0.4722056738604387,True,buff candidate,Queen of Pain,340419,158239,0.4648,0.645830154587429,-4.16583015458743,1,1.0,1.0,buff
